node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8421.000000,8342.000000,0.000000,-2.000000,0.232460,1.993235,0.200000,1.800000,3.798146,-2.450969,2.712021,3.453408,1.618593,-0.103660,-0.492100,-0.123587,-0.089061
8422.000000,4265.000000,0.000000,0.000000,0.218999,3.503350,0.200000,3.200000,2.642530,-2.522309,0.394328,4.727535,1.901531,-0.173280,-0.675396,-0.168395,-0.008087
8423.000000,8132.000000,0.000000,0.000000,0.216394,2.430844,0.200000,2.200000,3.315976,-2.550725,1.905573,4.367046,3.114738,0.279751,1.957308,0.246078,0.086827
8424.000000,3382.000000,0.000000,0.000000,0.226197,3.072035,0.200000,2.800000,2.470590,-2.185508,0.928675,5.078876,2.240113,-0.017544,-0.087430,-0.015518,-0.036243
8425.000000,6266.000000,0.000000,0.000000,0.237483,3.085532,0.200000,2.800000,2.653685,-2.274618,1.198656,5.074930,1.047040,-0.016626,-0.068539,-0.027512,-0.093010
8426.000000,3687.000000,0.000000,0.000000,0.217352,3.514874,0.200000,3.200000,2.662129,-2.248229,1.274890,5.235204,0.738237,-0.005355,0.788386,0.038621,0.014857
8427.000000,298.000000,0.000000,0.000000,0.216299,1.316190,0.200000,1.200000,2.775505,-0.364400,2.693435,1.487614,2.048000,-0.137144,-0.475433,-0.135260,0.013119
8428.000000,2501.000000,0.000000,0.000000,0.213005,3.723225,0.200000,3.400000,2.179293,-1.881590,0.909730,5.482293,2.253596,0.150934,0.645611,0.134089,0.039676
8429.000000,1065.000000,0.000000,0.000000,0.215979,0.881683,0.200000,0.800000,2.307863,-0.091723,2.219175,1.020879,2.978438,-0.355227,-2.658442,-0.346591,0.099453
8430.000000,6285.000000,0.000000,0.000000,0.231764,3.102163,0.200000,2.800000,2.395506,-2.306699,0.296049,5.129195,0.852945,0.130843,0.527317,0.251538,-0.078058
8431.000000,7665.000000,0.000000,0.000000,0.221428,3.313357,0.200000,3.000000,1.698338,-1.616666,-0.185592,5.359425,1.293429,0.026064,-0.313711,0.090607,-0.025847
8432.000000,2304.000000,0.000000,0.000000,0.224827,0.889111,0.200000,0.800000,2.305753,-0.199697,1.871968,1.575289,1.380129,-0.157137,-1.060206,-0.174885,-0.026874
8433.000000,2218.000000,0.000000,0.000000,0.206728,3.280566,0.200000,3.000000,2.693945,-2.259273,1.310406,5.203627,1.730501,0.110617,0.250895,0.134207,0.057127
8434.000000,7922.000000,0.000000,-1.000000,0.219508,3.082001,0.200000,2.800000,1.569882,-1.341398,-0.475449,5.013126,3.008458,-0.165815,-0.938534,-0.123053,0.013194
8435.000000,1960.000000,0.000000,0.000000,0.220101,3.281724,0.200000,3.000000,1.859502,-1.683980,0.410231,5.340303,2.983710,-0.170572,-0.979288,-0.129231,-0.002800
8436.000000,7823.000000,0.000000,-1.000000,0.223854,3.738829,0.200000,3.400000,1.875993,-1.539231,0.951796,5.944784,1.134208,0.222069,1.565836,0.336820,0.006538
8437.000000,7095.000000,1.000000,1.000000,0.220957,3.077950,0.200000,2.800000,2.608948,-2.398221,0.684189,4.749373,2.806699,-0.077632,-0.421581,-0.059327,-0.007521
